tab	measurements
analysts	citations	description	dir_dec	dir_inc	experiment	magn_moment	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
me	This study		298.200012	-27.400000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	3.898026e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI13	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	13	MGH1	u	6.000e-05	0	-90	13	6.130e+02
me	This study		296.899994	-23.200001	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	3.730263e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI14	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	14	MGH1	u	6.000e-05	0	-90	14	6.730e+02
me	This study		298.100006	-41.799999	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	4.367763e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI15	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	15	MGH1	u	0	0	0	15	7.030e+02
me	This study		299.500000	-54.799999	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	5.644737e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI16	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	16	MGH1	u	6.000e-05	0	-90	16	7.030e+02
me	This study		297.100006	-40.799999	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	4.111184e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI17	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	17	MGH1	u	0	0	0	17	7.330e+02
me	This study		303.899994	-20.200001	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	3.347369e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI18	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	18	MGH1	u	6.000e-05	0	-90	18	6.730e+02
me	This study		301.899994	-12.900000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	3.191447e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI19	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	19	MGH1	u	6.000e-05	0	-90	19	7.330e+02
me	This study		303.000000	-41.599998	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	3.793421e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI20	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	20	MGH1	u	0	0	0	20	7.630e+02
me	This study		301.100006	-59.299999	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	5.534211e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI21	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	21	MGH1	u	6.000e-05	0	-90	21	7.630e+02
me	This study		300.700012	-41.599998	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	3.489474e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI22	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	22	MGH1	u	0	0	0	22	7.830e+02
me	This study		303.100006	-7.800000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	2.701974e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI23	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	23	MGH1	u	6.000e-05	0	-90	23	7.330e+02
me	This study		306.000000	5.500000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	2.707895e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI24	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	24	MGH1	u	6.000e-05	0	-90	24	7.830e+02
me	This study		298.200012	-41.000000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	3.071053e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI25	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	25	MGH1	u	0	0	0	25	8.030e+02
me	This study		306.600006	-66.000000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	5.546053e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI26	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	26	MGH1	u	6.000e-05	0	-90	26	8.030e+02
me	This study		301.700012	-41.500000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	2.518421e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI27	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	27	MGH1	u	0	0	0	27	8.180e+02
me	This study		303.600006	24.600000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	2.159211e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI28	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	28	MGH1	u	6.000e-05	0	-90	28	7.830e+02
me	This study		300.700012	46.500000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	2.830263e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI29	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	29	MGH1	u	6.000e-05	0	-90	29	8.180e+02
me	This study		299.000000	-42.099998	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	1.776513e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI30	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	30	MGH1	u	0	0	0	30	8.280e+02
me	This study		300.200012	-75.900002	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	5.642763e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI31	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	31	MGH1	u	6.000e-05	0	-90	31	8.280e+02
me	This study		310.600006	-46.799999	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	2.719737e-07	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI32	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	32	MGH1	u	0	0	0	32	8.380e+02
me	This study		303.000000	88.800003	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	3.726316e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI33	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	33	MGH1	u	6.000e-05	0	-90	33	8.180e+02
me	This study		294.299988	89.099998	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	6.179606e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI34	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	34	MGH1	u	6.000e-05	0	-90	34	8.380e+02
me	This study		308.399994	57.200001	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	5.763157e-08	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI35	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	35	MGH1	u	0	0	0	35	8.480e+02
me	This study		217.500000	-88.900002	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	6.169737e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI36	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	36	MGH1	u	6.000e-05	0	-90	36	8.480e+02
me	This study		2.000000	-47.900002	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	4.134868e-08	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI37	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	37	MGH1	u	0	0	0	37	8.730e+02
me	This study		38.700001	89.400002	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	6.230921e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI38	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	38	MGH1	u	6.000e-05	0	-90	38	8.380e+02
me	This study		304.200012	88.500000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	6.244737e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI39	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	39	MGH1	u	6.000e-05	0	-90	39	8.730e+02
